% Model,WG_straight_副本.mph,,
% Version,COMSOL 6.2.0.339,,
% Date,"Sep 14 2025, 10:04",,
% Table,,,
% wg_width (um),sample_freq (1/s),neff (m^2),
0.8,1.87E+14,1.4399358629496968-1.0190950737794676E-4i,1.35E-10
0.8,1.87E+14,1.440909847109987-8.456438465936838E-5i,1.34E-10
0.8,1.87E+14,1.4420552900060781-4.347854303921621E-5i,1.62E-10
0.8,1.87E+14,1.4418381723840226-4.289943757078533E-5i,1.34E-10
0.8,1.87E+14,1.4744931185836236-8.078711497912974E-13i,1.09E-12
0.8,1.88E+14,1.4403024774098543-1.0077105633249813E-4i,1.34E-10
0.8,1.88E+14,1.4400831235160736-9.992662538121061E-5i,1.35E-10
0.8,1.88E+14,1.441040285011713-8.320796546002236E-5i,1.34E-10
0.8,1.88E+14,1.4421778927363702-4.262443395939294E-5i,1.62E-10
0.8,1.88E+14,1.441958731940558-4.2209903236023866E-5i,1.34E-10
0.8,1.88E+14,1.4755216008300875-5.174299440570005E-13i,1.06E-12
0.8,1.89E+14,1.4404389027370463-9.91636738575241E-5i,1.34E-10
0.8,1.89E+14,1.4402280537210501-9.799364780440316E-5i,1.35E-10
0.8,1.89E+14,1.441168867757736-8.188050139694275E-5i,1.34E-10
0.8,1.89E+14,1.442298616011826-4.179443629685198E-5i,1.62E-10
0.8,1.89E+14,1.442077594720678-4.153502014042796E-5i,1.34E-10
0.8,1.89E+14,1.4765600998377169-3.300539123569947E-13i,1.03E-12
0.8,1.90E+14,1.4405733922807906-9.759146739621665E-5i,1.34E-10
0.8,1.90E+14,1.440370709139266-9.610955451261832E-5i,1.35E-10
0.8,1.90E+14,1.4412956374313126-8.058110529225366E-5i,1.34E-10
0.8,1.90E+14,1.442194799410885-4.087439880644311E-5i,1.34E-10
0.8,1.90E+14,1.4424175088742393-4.0987647597548014E-5i,1.62E-10
0.8,1.90E+14,1.4776084330691852-2.0980664943028796E-13i,1.00E-12
0.8,1.91E+14,1.4407059855478397-9.605096178189525E-5i,1.34E-10
0.8,1.91E+14,1.4405111211667392-9.428008226025229E-5i,1.35E-10
0.8,1.91E+14,1.441420635125767-7.930912888038496E-5i,1.34E-10
0.8,1.91E+14,1.4423103836372553-4.02276624409265E-5i,1.34E-10
0.8,1.91E+14,1.4425346187016845-4.020320644711134E-5i,1.62E-10
0.8,1.91E+14,1.478666415151093-1.329019014348523E-13i,9.74E-13
0.8,1.92E+14,1.4408367293455684-9.45402881206849E-5i,1.34E-10
0.8,1.92E+14,1.4406493814665036-9.252171528535989E-5i,1.36E-10
0.8,1.92E+14,1.441543900505425-7.806368570548582E-5i,1.34E-10
0.8,1.92E+14,1.442424384000887-3.959444598303415E-5i,1.34E-10
0.8,1.92E+14,1.442649991280132-3.944029065570456E-5i,1.63E-10
0.8,1.92E+14,1.4797338581740973-8.38411299621774E-14i,9.47E-13
0.8,1.93E+14,1.4409656552048893-9.306468395432596E-5i,1.34E-10
0.8,1.93E+14,1.4407855493922312-9.081607264838365E-5i,1.36E-10
0.8,1.93E+14,1.4416654723062803-7.684441790648832E-5i,1.34E-10
0.8,1.93E+14,1.4425368361110877-3.897439571261618E-5i,1.34E-10
0.8,1.93E+14,1.4427636708735514-3.869811422948815E-5i,1.63E-10
0.8,1.93E+14,1.480810571982505-5.271721197208621E-14i,9.22E-13
0.8,1.94E+14,1.4410928163714145-9.162150029925258E-5i,1.34E-10
0.8,1.94E+14,1.4409196476667145-8.913477013181156E-5i,1.36E-10
0.8,1.94E+14,1.441785388100822-7.565045172806611E-5i,1.34E-10
0.8,1.94E+14,1.4426477746182143-3.8367169074570784E-5i,1.34E-10
0.8,1.94E+14,1.442875700285666-3.7975927378569725E-5i,1.63E-10
0.8,1.94E+14,1.4818963644534662-3.3080368804257564E-14i,8.97E-13
0.8,1.95E+14,1.441218242195784-9.020212959557394E-5i,1.34E-10
0.8,1.95E+14,1.4410517169876988-8.749099046428042E-5i,1.36E-10
0.8,1.95E+14,1.4419036843409117-7.448093743375281E-5i,1.34E-10
0.8,1.95E+14,1.4427572332464391-3.777243523683181E-5i,1.34E-10
0.8,1.95E+14,1.442986120924689-3.727301297672315E-5i,1.63E-10
0.8,1.95E+14,1.4829910417657362-2.0647431318894567E-14i,8.74E-13
0.8,1.96E+14,1.4413419899266158-8.881180817909252E-5i,1.34E-10
0.8,1.96E+14,1.441181845032066-8.589697858804944E-5i,1.36E-10
0.8,1.96E+14,1.4420203970702692-7.333565118669088E-5i,1.34E-10
0.8,1.96E+14,1.4428652448172639-3.7189871010300404E-5i,1.34E-10
0.8,1.96E+14,1.4430949728612938-3.658868551717206E-5i,1.63E-10
0.8,1.96E+14,1.4840944086581984-1.2875085587886182E-14i,8.51E-13
0.8,1.97E+14,1.4414640663584972-8.746047521806678E-5i,1.34E-10
0.8,1.97E+14,1.4413100660641316-8.435488350134157E-5i,1.37E-10
0.8,1.97E+14,1.4421355609401405-7.221367169545897E-5i,1.34E-10
0.8,1.97E+14,1.4429718412881138-3.6619164951955825E-5i,1.34E-10
0.8,1.97E+14,1.443202294882648-3.5922290514449193E-5i,1.63E-10
0.8,1.97E+14,1.4852062686782312-7.9570124663575E-15i,8.29E-13
0.8,1.98E+14,1.441584519307325-8.613015914217222E-5i,1.34E-10
0.8,1.98E+14,1.441436433229734-8.283702760729548E-5i,1.37E-10
0.8,1.98E+14,1.4422492097345432-7.111431571724869E-5i,1.34E-10
0.8,1.98E+14,1.4430770537718094-3.606001453312729E-5i,1.34E-10
0.8,1.98E+14,1.4433081245468906-3.5273201393870465E-5i,1.63E-10
0.8,1.98E+14,1.4863264244199605-4.888069981862046E-15i,8.09E-13
0.8,1.99E+14,1.441703391394061-8.482672047790179E-5i,1.34E-10
0.8,1.99E+14,1.4415609567480951-8.138183994660612E-5i,1.37E-10
0.8,1.99E+14,1.442361376171985-7.003726569048791E-5i,1.34E-10
0.8,1.99E+14,1.4431809125679658-3.551212721889352E-5i,1.34E-10
0.8,1.99E+14,1.4434124982328802-3.464081896778778E-5i,1.63E-10
0.8,1.99E+14,1.4874546777526876-3.080731641793075E-15i,7.89E-13
0.8,2.00E+14,1.4418207124541111-8.354579187904733E-5i,1.34E-10
0.8,2.00E+14,1.4416836947629037-7.997900599908105E-5i,1.37E-10
0.8,2.00E+14,1.4424720926077381-6.898200231602274E-5i,1.34E-10
0.8,2.00E+14,1.443283447186681-3.497521853032969E-5i,1.34E-10
0.8,2.00E+14,1.4435154511877013-3.4024569771568086E-5i,1.63E-10
0.8,2.00E+14,1.4885908300394677-1.823901358951641E-15i,7.69E-13
0.8,2.01E+14,1.4419365152374317-8.229843567343963E-5i,1.34E-10
0.8,2.01E+14,1.4418047863602936-7.859953433913904E-5i,1.37E-10
0.8,2.01E+14,1.4425813901220932-6.794755074725641E-5i,1.34E-10
0.8,2.01E+14,1.4433846863749686-3.444901249183533E-5i,1.34E-10
0.8,2.01E+14,1.4436170175721577-3.342390443259374E-5i,1.63E-10
0.8,2.01E+14,1.4897346823461515-1.1429964902924139E-15i,7.51E-13
0.8,2.02E+14,1.4420508358443886-8.107336245961836E-5i,1.34E-10
0.8,2.02E+14,1.4419242041198348-7.718815855081074E-5i,1.37E-10
0.8,2.02E+14,1.4426892989276174-6.693400504434659E-5i,1.34E-10
0.8,2.02E+14,1.443484658137925-3.393324087489804E-5i,1.34E-10
0.8,2.02E+14,1.4437172305031791-3.2838298511406437E-5i,1.63E-10
0.8,2.02E+14,1.4908860356409517-7.849701981839148E-16i,7.33E-13
0.8,2.03E+14,1.4421636978526893-7.987169580983196E-5i,1.34E-10
0.8,2.03E+14,1.442041924102264-7.588558804055216E-5i,1.38E-10
0.8,2.03E+14,1.442795849140258-6.594040462484009E-5i,1.34E-10
0.8,2.03E+14,1.4435833897634807-3.342764468006265E-5i,1.34E-10
0.8,2.03E+14,1.4438161220965067-3.226724865449267E-5i,1.63E-10
0.8,2.03E+14,1.492044690984797-4.001543685775644E-16i,7.16E-13
0.8,2.04E+14,1.442275136276521-7.869072728709949E-5i,1.34E-10
